AVOC,AVOCADOS
BASIL,BASIL
BAT,BATATAS
BAYLVS,BAY LEAVES
BNS,BEANS
BTRMLN,BITTERMELON
BRDFRT,BREADFRUIT
DILL,DILL
LMNGRS,LEMON GRASS
CEL,CELERY
CHAY,CHAYOTE
CILAN,CILANTRO
COCO,COCONUTS
DILL,DILL
EGPLT,EGGPLANT
GARLIC,GARLIC
GNGRT,GINGER ROOT
LIM,LIMES
MAL,MALANGA
MAMEY,MAMEY SAPOTE
MANGO,MANGOES
MARJ,MARJORAM
MINT,MINT
WMEL,MISC MELONS
MOAP,MOAP (SMOOTH LUFFA)
OKRA,OKRA
OPO,OPO (LONG SQUASH)
OREG,OREGANO
PAP,PAPAYA
PARSL,PARSLEY
PEP,BELL
PEPO,OTHER
PINE,PINEAPPLES
PLAN,PLANTAINS
POME,POMEGRANATES
PUMMELO-V,PUMMELO
RSEMRY,ROSEMARY
SPTE,SAPOTE
SINQ,SINQUA (ANGLED/RIDGED LUFFA)
SOURORGC-V,SOUR ORANGE CITRUS
SQU,SQUASH
TAMA,TAMARINDO
TARO,TARO
TARR,TARRAGON
THYME,THYME
TIND,TINDORA
TOM,TOMATOES
WMEL,WATERMELONS
YUCA,YUCA (CASSAVA)
DAIKON,DAIKON
ALFALFAS-V,ALFALFA SPROUTS
ALM,ALMONDS
ALOE,ALOE LEAVES
ANISE,ANISE
APL,APPLES
APLCID,APPLE CIDER
APPLEPEA-V,APPLE PEARS
APR,APRICOTS
ARRH,ARROWHEAD
ARRT,ARROW ROOT
ARRUG,ARRUGULA
ART,ARTICHOKES
ASP,ASPARAGUS
BAMBSHTS,BAMBOO SHOOTS
BAN,BANANAS
BANFL,BANANA FLOWERS
BEETTOPS-V,BEET TOPS
BKCHY,BOK CHOY
BLKBERI-V,BLACKBERRIES
BLKCURRA-V,BLACK CURRANTS
BLOODORG-V,BLOOD ORANGE
BLUBY,BLUEBERRIES
BNSPRT,BEAN SPROUTS
BOYSENBE-V,BOYSENBERRIES
BRAZ,BRAZIL NUTS
BROC,BROCCOLI
BROCRBE-VR,BROCCOLI RABE (RAPPINI)
BRSPT,BRUSSELS SPROUTS
BTRORG,BITTER ORANGE
BTS,BEETS
CAB,CABBAGE
CACLF(NO-V,CACTUS LEAF (NOPALES)
CACPEARS-V,CACTUS PEARS
CALA,CALABAZA
CANT,CANTALOUPS
CAPEG,CAPE GOOSEBERRIES (PHYSALIS)
CARAMBOL-V,CARAMBOLA - STAR FRUIT
CARDOON-V,CARDOON
CARR,CARROTS
CASABA-V,CASABA
CASH,CASHEWS
CAUL,CAULIFLOWER
CBGSPROU-V,CABBAGE SPROUTS
CELRIC,CELERIAC (CELERY ROOT)
CHARANTA-V,CHARANTAIS MELON
CHCAB,CHINESE CABBAGE
CHER,CHERRIES
CHERIMOY-V,CHERIMOYA
CHERV,CHERVIL
CHEST,CHESTNUTS
CHINCEL,CHINESE CELERY
CHINCHI,CHINESE CHIVES
CHIVE,CHIVES
CHOYSUM,CHOY SUM
CHRYLV,CHRYSANTHEMUM LEAVES (TUNG HO)
CIPOL,CIPOLINOS
CITRON-V,CITRON
CLEM,CLEMENTINES
COGRPU-VR,COCKTAIL GRAPEFRUIT/PUMMELO
COLLARDG-V,COLLARD GREENS
